split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
cifar_resnet_leaf_count,201,-0.6810494362160092,-0.780812051600758,-0.4850684548101773,-0.4730687242125992,40
full_average_branching_factor,402,-0.1050599324485545,-0.1058928764834773,0.0076338699250268,0.056576500481422,45
full_colless_index,402,-0.7402597173966512,-0.8185359069086303,-0.2124547090940052,-0.2254932588575549,45
full_average_colless_index,402,-0.1996452669111582,-0.2114594265940671,-0.2961394167285532,-0.3573991887711075,45
full_sackin_index,402,-0.7539274259591372,-0.8321954268930829,-0.6423783659706457,-0.590402409089769,45
full_average_sackin_index,402,-0.6567227213950823,-0.5919090149267642,-0.8681862759561819,-0.8855622831247246,45
full_leaf_count,402,-0.3751709881057093,-0.444123838319751,0.0060691686535294,0.0777757903702922,45
cifar_average_branching_factor,402,-0.1050599324485545,-0.1058928764834773,0.0076338699250268,0.056576500481422,45
cifar_colless_index,402,-0.7402597173966512,-0.8185359069086303,-0.2124547090940052,-0.2254932588575549,45
cifar_average_colless_index,402,-0.1996452669111582,-0.2114594265940671,-0.2961394167285532,-0.3573991887711075,45
cifar_sackin_index,402,-0.7539274259591372,-0.8321954268930829,-0.6423783659706457,-0.590402409089769,45
cifar_average_sackin_index,402,-0.6567227213950823,-0.5919090149267642,-0.8681862759561819,-0.8855622831247246,45
cifar_leaf_count,402,-0.3751709881057093,-0.444123838319751,0.0060691686535294,0.0777757903702922,45
densenet_average_branching_factor,201,0.0008522297052746,-0.0169210970857048,0.2545277169079322,0.2972790223244112,45
