,Class,Count,Count Majority,Count Homogeneous
700,paper towel,16,16,16
701,parachute,1,1,1
702,parallel bars,16,16,16
703,park bench,2,2,2
704,parking meter,2,2,2
705,passenger car,6,6,6
706,patio,6,6,6
707,pay-phone,3,3,3
708,pedestal,6,6,6
709,pencil box,10,10,10
710,pencil sharpener,5,4,4
711,perfume,2,2,2
712,Petri dish,2,1,1
713,photocopier,1,1,1
714,pick,2,2,2
715,pickelhaube,3,3,3
716,picket fence,3,3,3
717,pickup,1,1,1
718,pier,13,13,13
719,piggy bank,1,1,1
720,pill bottle,2,2,2
721,pillow,2,2,2
722,ping-pong ball,3,3,3
723,pinwheel,1,1,1
724,pirate,2,2,2
725,pitcher,14,14,14
726,plane,4,4,4
727,planetarium,4,4,4
728,plastic bag,3,3,3
729,plate rack,1,1,1
730,plow,6,6,6
731,plunger,2,2,2
732,Polaroid camera,1,1,1
733,pole,12,12,12
734,police van,2,2,2
735,poncho,1,1,1
736,pool table,1,1,1
737,pop bottle,7,7,7
738,pot,1,1,1
739,potter's wheel,2,2,2
740,power drill,2,2,2
741,prayer rug,1,1,1
742,printer,8,8,8
743,prison,13,13,13
744,projectile,17,17,17
745,projector,5,5,5
746,puck,4,4,4
747,punching bag,3,2,2
748,purse,17,17,17
749,quill,3,2,2
750,quilt,6,6,6
751,racer,19,19,19
752,racket,16,16,16
753,radiator,2,1,1
754,radio,10,10,10
755,radio telescope,5,5,5
756,rain barrel,12,12,12
757,recreational vehicle,1,1,1
758,reel,5,5,5
759,reflex camera,13,13,13
760,refrigerator,4,4,4
761,remote control,5,5,5
762,restaurant,4,4,4
763,revolver,1,1,1
764,rifle,18,18,18
765,rocking chair,1,1,1
766,rotisserie,3,2,2
767,rubber eraser,15,15,15
768,rugby ball,4,4,4
769,rule,3,3,3
770,running shoe,1,1,1
771,safe,5,5,5
772,safety pin,4,4,4
773,saltshaker,3,3,3
774,sandal,15,14,14
775,sarong,1,1,1
776,sax,5,5,5
777,scabbard,12,12,12
778,scale,3,3,3
779,school bus,1,1,1
780,schooner,11,11,11
781,scoreboard,1,1,1
782,screen,7,7,7
783,screw,1,1,1
784,screwdriver,6,6,6
785,seat belt,3,2,2
786,sewing machine,1,1,1
787,shield,5,4,4
788,shoe shop,2,2,2
789,shoji,1,1,1
790,shopping basket,6,6,6
791,shopping cart,20,20,20
792,shovel,5,5,5
793,shower cap,1,1,1
794,shower curtain,2,2,2
795,ski,3,3,3
796,ski mask,12,12,12
797,sleeping bag,4,4,4
798,slide rule,1,1,1
799,sliding door,6,6,6
800,slot,1,1,1
801,snorkel,3,3,3
802,snowmobile,1,1,1
803,snowplow,1,1,1
804,soap dispenser,8,8,8
805,soccer ball,4,4,4
806,sock,1,1,1
807,solar dish,2,1,1
808,sombrero,2,1,1
809,soup bowl,17,17,17
810,space bar,18,18,18
811,space heater,10,10,10
812,space shuttle,1,1,1
813,spatula,7,7,7
814,speedboat,1,1,1
815,spider web,18,18,18
816,spindle,1,1,1
817,sports car,12,12,12
818,spotlight,9,9,9
819,stage,11,11,11
820,steam locomotive,1,1,1
821,steel arch bridge,3,3,3
822,steel drum,2,1,1
823,stethoscope,3,3,3
824,stole,11,11,11
825,stone wall,1,1,1
826,stopwatch,8,8,8
827,stove,15,15,15
828,strainer,7,7,7
829,streetcar,10,10,10
830,stretcher,2,1,1
831,studio couch,3,3,3
832,stupa,1,1,1
833,submarine,1,1,1
834,suit,16,16,16
835,sundial,2,2,2
836,sunglass,18,18,18
837,sunglasses,12,12,12
838,sunscreen,14,14,14
839,suspension bridge,3,3,3
840,swab,7,7,7
841,sweatshirt,3,3,3
842,swimming trunks,8,8,8
843,swing,1,1,1
844,switch,4,4,4
845,syringe,1,1,1
846,table lamp,11,11,11
847,tank,2,2,2
848,tape player,16,16,16
849,teapot,12,12,12
850,teddy,6,6,6
851,television,9,9,9
852,tennis ball,9,9,9
853,thatch,1,1,1
854,theater curtain,1,1,1
855,thimble,1,1,1
856,thresher,12,12,12
857,throne,1,1,1
858,tile roof,1,1,1
859,toaster,1,1,1
860,tobacco shop,5,5,5
861,toilet seat,13,13,13
862,torch,1,1,1
863,totem pole,8,8,8
864,tow truck,1,1,1
865,toyshop,10,10,10
866,tractor,23,23,23
867,trailer truck,6,6,6
868,tray,18,16,16
869,trench coat,1,1,1
870,tricycle,2,2,2
871,trimaran,13,13,13
872,tripod,1,1,1
873,triumphal arch,1,1,1
874,trolleybus,1,1,1
875,trombone,10,10,10
876,tub,14,14,14
877,turnstile,1,1,1
878,typewriter keyboard,23,23,23
879,umbrella,2,2,2
880,unicycle,1,1,1
881,upright,7,7,7
882,vacuum,1,1,1
883,vase,19,19,19
884,vault,9,9,9
885,velvet,12,12,12
886,vending machine,1,1,1
887,vestment,1,1,1
888,viaduct,1,1,1
889,violin,21,21,21
890,volleyball,2,2,2
891,waffle iron,4,3,3
892,wall clock,23,23,23
893,wallet,19,19,19
894,wardrobe,5,5,5
895,warplane,19,19,19
896,washbasin,12,12,12
897,washer,1,1,1
898,water bottle,8,8,8
899,water jug,6,6,6
900,water tower,1,1,1
901,whiskey jug,1,1,1
902,whistle,2,2,2
