dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,missing_coless,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
mnist,train,resnet,20,7,a1,0.00014380633365362883,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9912333333333333,0.9857
mnist,train,resnet,20,8,a1,0.00013060870696790516,valley=classes,20,1,1.9,34.0,1,109.0,51.0,0.99085,0.9876
mnist,train,resnet,20,9,a1,0.0009395934175699949,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.99015,0.984
mnist,trainUval,resnet,20,0,a1,0.1443033218383789,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.09793333333333333,0.0974
mnist,trainUval,resnet,20,10,a1,6.437057163566351e-05,valley=classes,20,1,1.9,40.0,1,105.0,52.0,0.9925,0.9873
mnist,trainUval,resnet,20,11,a1,0.0005280142650008202,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9925,0.9872
mnist,trainUval,resnet,20,12,a1,0.0004564736154861748,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.9879833333333333,0.9823
mnist,trainUval,resnet,20,13,a1,0.0003500551974866539,valley=classes,20,1,1.9,40.0,1,126.0,54.0,0.98465,0.9806
mnist,trainUval,resnet,20,14,a1,3.54044750565663e-05,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.97775,0.9726
mnist,trainUval,resnet,20,15,a1,0.000554241705685854,valley=classes,20,1,1.9,16.0,1,80.0,46.0,0.9932333333333333,0.9874
mnist,trainUval,resnet,20,1,a1,0.0013526990078389645,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.96455,0.9668
mnist,trainUval,resnet,20,2,a1,0.03463950753211975,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9676666666666667,0.9692
mnist,trainUval,resnet,20,3,a1,0.0008613923564553261,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.98405,0.9826
mnist,trainUval,resnet,20,4,a1,0.00010500767530174926,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.9848333333333333,0.9844
mnist,trainUval,resnet,20,5,a1,0.00040617541526444256,valley=classes,20,1,1.9,28.0,1,108.0,50.0,0.9867166666666667,0.9828
mnist,trainUval,resnet,20,6,a1,0.0001036824396578595,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9903333333333333,0.9862
mnist,trainUval,resnet,20,7,a1,0.00010493927402421832,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.9912333333333333,0.9857
mnist,trainUval,resnet,20,8,a1,0.00013060870696790516,valley=classes,20,1,1.9,32.0,1,105.0,50.0,0.99085,0.9876
mnist,trainUval,resnet,20,9,a1,0.0009112781845033169,valley=classes,20,1,1.9,50.0,1,140.0,57.0,0.99015,0.984
mnist,val,resnet,20,0,a1,0.07590138912200928,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.09793333333333333,0.0974
mnist,val,resnet,20,10,a1,1.4424173059524037e-05,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.9925,0.9873
mnist,val,resnet,20,11,a1,8.058176172198728e-05,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9925,0.9872
mnist,val,resnet,20,12,a1,0.0005118630942888558,valley=classes,20,1,1.9,36.0,1,114.0,52.0,0.9879833333333333,0.9823
mnist,val,resnet,20,13,a1,0.00011359775817254558,valley=classes,20,1,1.9,34.0,1,109.0,51.0,0.98465,0.9806
mnist,val,resnet,20,14,a1,1.2159244761278387e-05,valley=classes,19,2,2.0,36.0,2,123.0,51.0,0.97775,0.9726
mnist,val,resnet,20,15,a1,8.749562402954325e-05,valley=classes,19,2,2.0,45.0,2,141.0,55.0,0.9932333333333333,0.9874
mnist,val,resnet,20,1,a1,0.001086598145775497,valley=classes,20,1,1.9,54.0,1,130.0,57.0,0.96455,0.9668
mnist,val,resnet,20,2,a1,0.002291155280545354,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.9676666666666667,0.9692
mnist,val,resnet,20,3,a1,1.8119228116120212e-05,valley=classes,20,1,1.9,24.0,1,96.0,48.0,0.98405,0.9826
mnist,val,resnet,20,4,a1,5.590724686044268e-05,valley=classes,20,1,1.9,40.0,1,127.0,54.0,0.9848333333333333,0.9844
mnist,val,resnet,20,5,a1,7.926899706944823e-05,valley=classes,19,2,2.0,35.0,2,115.0,51.0,0.9867166666666667,0.9828
mnist,val,resnet,20,6,a1,2.9562781492131762e-05,valley=classes,20,1,1.9,40.0,1,105.0,52.0,0.9903333333333333,0.9862
mnist,val,resnet,20,7,a1,1.2397528735164087e-05,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.9912333333333333,0.9857
mnist,val,resnet,20,8,a1,6.985249638091773e-05,valley=classes,20,1,1.9,42.0,1,116.0,53.0,0.99085,0.9876
mnist,val,resnet,20,9,a1,6.556485459441319e-06,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.99015,0.984
cifar,train,vgg,20,0,a1,0.009998321533203125,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.0898,0.088
cifar,train,vgg,20,12,a1,9.655526810092852e-06,valley=classes,20,1,1.9,46.0,1,125.0,55.0,0.95462,0.7898
cifar,train,vgg,20,15,a1,2.3841823804104934e-07,valley=classes,20,1,1.9,18.0,1,83.0,47.0,0.97316,0.7943
